link;disript
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=479&prejim=2;Голосіївський р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=480&prejim=2;Дарницький р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=481&prejim=2;Деснянський р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=482&prejim=2;Дніпровський р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=483&prejim=2;Оболонський р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=484&prejim=2;Печерський р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=485&prejim=2;Подільський р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=486&prejim=2;Святошинський р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=487&prejim=2;Солом’янський р-н
https://www.drv.gov.ua/portal/!cm_core.cm_index?option=ext_dvk&pid100=80&pf3001=488&prejim=2;Шевченківський р-н
